region,country,type_of_program,funding_agency,project_title,recipient,subrecipient,description
Africa,Gabon,"Protection, Prosecution","Dept. of State, G/TIP",Start-up Equipment for Child Trafficking Police Task Force,Government of Gabon,,"This provision of technical assistance will assist the Gabonese Child Trafficking Police Task Force improve its ability to respond to trafficking cases. The technical assistance will be used to procure a vehicle, motorcycle, office equipment, a computer, camera/video equipment, radios, and rape kits."
Africa,Ghana,"Prevention, Protection","Dept. of State, PRM",Assisted Voluntary Return and Reintegration of Ghanaian Children,IOM,,"IOM, in partnership with the Ghanaian Ministry of Women and Children’s Affairs, NGOs, and UNICEF, will identify and provide documentation to children who have been trafficked to Ghana to work in fisheries. This pilot project will assist the children, provide counseling, transportation, family reunification, as well activities to facilitate the reintegration of the returned children."
Africa,Ghana,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,"2 Individuals,",,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Africa,Mali,Prevention,"USAID, Bureau for Africa",Mali -- Radio Communications,Ben and Jerry's,,"In a public-private partnership with Ben & Jerry’s/Unilever, the USAID Mission in Mali is launching a media campaign in Mali and Cote d'Ivoire to promote child welfare and prevent trafficking. Community radio soap operas will address child welfare and trafficking, increasing awareness and changing public attitudes and behaviors about child trafficking."
Africa,Mali,Prevention,"USAID, Bureau for Africa",trafficking study,Save the Children USA,,"The USAID Mission in Mali is undertaking a study to determine local parental and community perceptions, processes and consequences of child trafficking in the Sikasso region to more effectively plan and implement relevant interventions in education."
Africa,Mali,Prevention,"USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development",Education,Save the Children USA,,"In partnership with the USAID Mission in Mali, USAID's Office of Women in Development will support community awareness workshops to bring the experience and voices of young people who have been trafficked to the community. Leadership training will help local school management committees become an effective force for anti-trafficking in the region."
Africa,Morocco,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,2 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Africa,Nigeria,"Protection, Prosecution, Prevention","Dept. of State, INL",,IOM,,IOM will employ indigenous NGOs to provide sensitization training for personnel in the Nigeria Police Anti-Human Trafficking Task Force and personnel in the Nigerian Immigration Service’s Anti-Trafficking unit. This training will focus on law enforcement personnel stationed in Lagos and Edo State.
Africa,Nigeria,"Prosecution, Protection","Dept. of State, G/TIP",Enhanced Investigation and Prosecution of Traffickers by Nigerian Police and Federal Prosecutors,U.S. Dept. of Justice/OPDAT/ICITAP,,This anti-trafficking training program for police investigators and prosecutors will bring U.S. Dept. of Justice (OPDAT/ICITAP) representatives together with local NGOs to improve the capacity of the Nigerian Criminal Justice System to investigate and prosecute trafficking crimes.
Africa,Nigeria,"Protection, Prosecution","Dept. of State, G/TIP",Support for ECOWAS Regional Experts Meeting on Trafficking in Persons,"ECOWAS Secretariat, Abuja",,"This international conference, involving 15 ECOWAS countries and many international and national non-governmental organizations, seeks to build and promote better structures of cooperation in combating trafficking in West Africa."
Africa,Nigeria,"Prevention, Protection","Dept. of State, PRM","Program against Trafficking in Nigerian Women and Minors, and Transmission of HIV/AIDS",IOM,,"This on-going program provides awareness- raising activities on the dangers of trafficking, HIV/AIDS and other STDs. The in-school program will be expanded to cover out of school youths, traditional and religious leaders, women’s groups, and sports clubs. Assistance is provided to returned victims first through a transit center in Lagos, and then when they return to Edo State, with access to shelters."
Africa,Nigeria,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,"Individual,",,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Africa,Nigeria,Protection,"Dept. of State, Bureau of African Affairs",,"UNICEF, IOM, Sisters of Idia Renaissance, National Center for Women and Development",,"This project will support the establishment of two rehabilitation shelters for victims of trafficking. One rehabilitation shelter will be located in Edo State, the other in Lagos. In conjunction with USAID."
Africa,Nigeria,"Prevention, Protection","USAID, Bureau for Africa",Nigeria -- assistance to trafficking victims,"UNICEF, IOM, Sisters of May; Idia Renaissance, National Center for Women and Development",,The USAID Mission in Nigeria is funding IOM and a consortium of local NGOs to establish shelters and training centers for trafficking victims in Edo State. In conjunction with Department of State’s Bureau for African Affairs.
Africa,Senegal,Prosecution,"Dept. of State, G/TIP",Improving Investigations/Prosecutions of Crimes against Women and Children,Government of Senegal/U.S. Dept. of Justice - ICITAP,,"U.S. Dept. of Justice ICITAP will assess the trafficking problem in Senegal and provide training for Senegalese law enforcement. Training will include investigative techniques, coordination between law enforcement and prosecutors, and technical assistance."
Africa,Sierra Leone,Protection,"USAID, Bureau for Africa",Assistance to trafficking victims in the Mano River Region,International Rescue Committee; UNICEF; Search for Common Ground; Mono River Women's Peace Network,,"USAID's Sierra Leone Transition Strategy supports NGOs providing social integration assistance, including medical, psychological and legal services, to female victims trafficked from Liberia and Guinea to Sierra Leone, many of whom were brought as “war wives” for former Revolutionary United Front members and later abandoned."
Africa,Sudan,"Prevention, Protection, Prosecution","USAID, Bureau for Africa",Sudan -- fighting abduction,Save the Children/UK,,USAID and Save the Children/UK have joined forces to combat abduction in Sudan and to find effective ways to help women and children victims. An interagency database will better track trafficking cases and map commonly used overland routes. Assistance to victims will include identification of organizations that can provide effective alternatives to institutional care.
Africa,Tanzania,"Prevention, Protection",USAID,"Identifying, Reporting, and Resolving Incidences of Abuse, Exploitative Work, and Child Prostitution in Dar es Salaam",KIWOHEDE,,"Increase children’s, parents, guardians, police, and community awareness to improve strategies to report and reduce incidences of sexual and physical abuse among children working in prostitution and hazardous domestic work, especially young victims of trafficking."
Africa,Togo,Prosecution,"Dept. of State, INL",Equipment Donation to the Police,Government of Togo – Ministry of Social Affairs,,"The equipment donation is designed to strengthen the capacity of law enforcement to communicate effectively while engaging in combating illicit cross-border activities, including trafficking in persons."
Africa,Togo,"Protection, Prosecution","Dept. of State, G/TIP",Technical Assistance in Drafting Anti-trafficking Legislation,Dept. of Justice OPDAT,,A representative from the Dept. of Justice OPDAT will travel to Togo to assist in drafting a comprehensive anti-trafficking law conforming to relevant UN Conventions on trafficking.
Africa,Togo,"Protection, Prosecution","Dept. of State, G/TIP",Minors Brigade Assistance,Government of Togo,,"This technical assistance will be used to procure start-up equipment for the “Minors Brigade.” The goal of this project is to provide Togolese law enforcement personnel with the equipment necessary to efficiently prevent and investigate trafficking in persons, especially children. Equipment includes computers, long-range radios, and office equipment."
Africa,Togo,Prosecution,"Dept. of State, G/TIP",Training for Enforcers,Government of Togo/U.S. Dept. of Justice OPDAT and ICITAP,,"U.S. Dept. of Justice training will raise awareness of judicial, law enforcement, and border security authorities regarding trafficking. Training will include intervention and interview techniques, treatment of victims, as well as investigation of traffickers."
Africa,Togo,"Protection, Prevention",Dept. of Labor/Bureau of International Labor Affairs/International Child Labor Program,Combating Child Trafficking in Togo Through Education,CARE,,This four-year project will promote school attendance and provide educational opportunities for victims of child trafficking and children at risk of being trafficked. The program will raise awareness about the problem of child trafficking and the importance of education for children; strengthen transitional centers that receive children returned from trafficking; promote children’s academic integration into transitional and formal basic and vocational education programs; support preventive measures to increase school retention of children vulnerable to trafficking; strengthen institutions and policies to reduce trafficking and promote school attendance; and promote the sustainability of program interventions.
East Asia and Pacific Islands,Regional,Prosecution,"Dept. of State, G/TIP","Working Group on Policy, Legislation and Law Enforcement Issues",Royal Thai Government and IOM,,"Under the aegis of a regional ministerial on smuggling and trafficking, two workshops will investigate legal structures and law enforcement practices in East Asia. Objectives are to improve regional cooperation, identify areas of improvement on law enforcement, create a network of experts, and coordinate law enforcement initiatives."
East Asia and Pacific Islands,Regional,Prosecution,"Dept. of State, G/TIP",Computer-Based Training (CBT) Development,United Nations Office of Drug Control and Crime Prevention/Crime Center,,"The Crime Center will design, develop and deliver a new CBT module on trafficking for law enforcement personnel in the Greater Mekong Sub-region (Cambodia, China, Lao PDR, Burma, Thailand and Vietnam). This will standardize training and skills-development at high levels throughout the region and at a significant reduction in training costs."
East Asia and Pacific Islands,Regional,Prevention/Protection/Prosecution,"Dept. of State, EAP",EAP Regional Human Trafficking Website,Academy for Educational Development (AED),,"The humantrafficking.org website serves as a repository of information on efforts to combat trafficking in persons, especially women and children. The website posts information about anti-trafficking laws and regulations, bilateral agreements to cooperate in combating trafficking, upcoming conferences, best practices, contact information for obtaining assistance, and other materials."
East Asia and Pacific Islands,Burma,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
East Asia and Pacific Islands,Cambodia,Prevention,"Dept. of State, EAP",Awareness Campaign Project,IOM,,"Campaigns to increase TIP awareness, presented through multi-media presentations, using both video and live performances, to audiences across eighteen provinces over a three-year period. The information campaigns will be followed by the teaching of an anti-trafficking life skill course in schools and among members of village women’s and children’s groups at the community level. Information gathered during campaigns will be used to build a national counter-trafficking database to help the Ministry of Women’s and Veterans’ Affairs (MWVA) respond to the problems of trafficking in women in children."
East Asia and Pacific Islands,Cambodia,"Prevention, Protection","Dept. of State, PRM",Return Recovery and Reintegration Assistance to Trafficked Women and Children: Cambodia,IOM,,"The project aims at strengthening NGO and government capacity, particularly the Ministry of Social Affairs, Labor, Vocational Training, and Youth Rehabilitation (MOSALVY), to develop durable reintegration solutions for victims of trafficking who cannot be reunited with their families within the first several months of their return to Cambodia. Technical support assistance enhances partners’ capacities to implement alternative care for the victims, including the development of family support (counseling, skills development for families), foster care, group homes, orphanages, and community-based outreach networks to help integrate single women with children."
East Asia and Pacific Islands,Cambodia,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
East Asia and Pacific Islands,Fiji,Prevention,"Dept. of State, EAP",Training and Capacity-Building Program,Fiji Women’s Crisis Center (FWCC),,"FWCC is conducting training and capacity building for organizations and individuals working to eliminate violence against women. It is also publishing materials on violence against women to support community education, advocacy, and lobbying and it will support rural initiatives working to eliminate violence against women."
East Asia and Pacific Islands,Indonesia,Prosecution,"Dept. of State, G/TIP","Training for Police, Justice, and Immigration Officials","US Department of Justice, ICITAP",,"Training will improve readiness and the ability of law enforcement officials to prevent and investigate trafficking cases and establish standard operating procedures to identify probable trafficked groups, effectively interview and assist victims, and bring perpetrators to justice."
East Asia and Pacific Islands,Indonesia,Protection,"Dept. of State, G/TIP",Establishment of Drop-in-Center in North Sumatra,Center for Study and Child Protection,,"The objectives will be to expand current work with victims of commercial sexual exploitation and establish a center where victims can receive medical, legal, and psychological attention before being prematurely thrust back into the community. The Center will also train police on proper methods of dealing with child victims. Finally, the Center reintegrates the child back into school and into the family once s/he is ready."
East Asia and Pacific Islands,Indonesia,Prevention,"Dept. of State, EAP",Anti-Trafficking Brochures,Yayasan Sains Estetika dan Tehnology (SET),,SET is working with the Ministry of Education to develop prevention brochures to be presented to middle school students. This Indonesian NGO believes that successful prevention requires getting basic information to potential trafficking victims early on in an easily understood form. The distribution of the brochures will eventually extend to many children outside of the school system.
East Asia and Pacific Islands,Indonesia,Prevention,"Dept. of State, EAP",Food for Thought: Anti-Trafficking Messages on Food Packaging,International Relief and Development (IRD),,This project will deliver anti-trafficking messages to consumers at all income and age levels. The message is reinforced every time a consumer purchases a food staple. The manufacturers involved in the program pay distribution costs. This is similar to the campaigns in the U.S. featuring missing children on milk cartons.
East Asia and Pacific Islands,Indonesia,Prevention,"Dept. of State, EAP",National Conference on Trafficking in Women and Children,Legal Aid Society,,"A conference was held in Jakarta in September 2002. The invitees were politicians from all parties, central government officials from the Ministry of Women’s Empowerment, local government officials from all the provinces, NGO representatives, academicians, legal activists, union leaders, and media representatives. The goals of the conference were to build a national coalition to fight TIP, to attract media attention, and to form a committee representing civil society advocacy groups."
East Asia and Pacific Islands,Laos,Prevention,"Dept. of State, EAP",Awareness Raising Campaign Against Trafficking/Women’s Participation in Political Processes at the Village Level,Village Focus International,,"This project conducts awareness-raising activities in selected at-risk communities, focusing on Southern Laos. Existing village-based schools and other networks are used to disseminate information and conduct training in cooperation with local counterparts and government officials. VFI produces youth-friendly information kits; forms and maintains paper puppetry groups; sets up youth leadership program activities and produces video and radio programs."
East Asia and Pacific Islands,Laos,Prevention,"Dept. of State, EAP",Prevention of Human Trafficking through Awareness Raising and Occupational Development in Mekong Border Communities,Consortium (includes World Education and World Learning),,Project works to improve the Vientiane Center for Skill Development to provide direct assistance to victims of trafficking and youth who are vulnerable to traffickers. The Center also provides vocational training for at-risk youth and awareness campaigns in the target districts. The awareness messages are delivered in public venues such as school buildings and temples through the leadership and participation of local leaders in the community.
East Asia and Pacific Islands,Papua New Guinea,Protection,"Dept. of State, EAP","Port Moresby City Mission Women’s Hostel, Crisis Center, and Child Abuse Center",City Mission,,"City Mission is renovating several rooms for short-term crisis accommodations on a free-of-charge basis to assist those suffering from abuse. The Center currently has 29 rooms, using 20 for a hostel and 9 rooms set aside as a refuge and child abuse center, which will also house administration offices. Crisis accommodations would be provided to as many as 16 victims for up to three days."
East Asia and Pacific Islands,Papua New Guinea,Prevention,"Dept. of State, EAP",Operational Support to FVAC,Family Violence Action Committee (FVAC),,"Through cooperation and awareness campaigns, FVAC has increased its ability to speak with authority about the extent of the family violence problem. A new database has given FVAC the ability to provide factual data on the extent of the problem in PNG. It can be a reference and resource tool when seeking cooperation from governments and NGOs."
East Asia and Pacific Islands,Papua New Guinea,Prevention,"Dept. of State, EAP",Bougainville Women’s Resource Center for the Prevention of Violence Against Women,"UNDP, UNOPS, and UNIFEM",,This project seeks to meet the concerns of women through activities such as the training of a resources person and putting that person into the community to conduct sessions on the prevention of violence against women. Another activity is the construction and furnishing of the Bougainville Women’s Resource Center.
East Asia and Pacific Islands,Philippines,Prevention/Protection,"Dept. of State, EAP",Halfway Houses in Manila and Davao Ports,Visayan Forum Foundation (VFF),,"The VFF, in partnership with the Philippines Port Authority, is establishing two halfway houses at the two most active ports in the Philippines, Manila and Davao. The halfway houses will provide temporary shelter, repatriation, referral, and telephone hotline counseling services to victims. Seminars and training will also be conducted to strengthen the participation and awareness of strategic partners within these ports (such as police, private security agencies, etc.)."
East Asia and Pacific Islands,Philippines,Prevention/Protection/Prosecution,"Dept. of State, EAP",Combating Trafficking of Women and Children in the Philippines,American Center for International Labor Solidarity (ACILS),,"This project addresses the gaps and needs in the government’s anti-trafficking campaign. The project includes collecting baseline information on traffickers, campaign awareness, advocacy, and networking activities for improvements in prevention; providing assistance to victims and vulnerable groups through telephone hotlines, advocacy for funding for start-up funds for domestic violence/rape shelters and crisis centers, and legal assistance to improve protection; and training and capacity building exercises to develop gender-sensitive officials in law enforcement and justice sectors to improve prosecution."
East Asia and Pacific Islands,Philippines,"Protection, Prevention",Dept. of Labor/Bureau of International Labor Affairs/International Child Labor Program,Supporting the Timebound Program on the Elimination of the Worst Forms of Child Labor in the Republic of the Philippines,ILO/IPEC,,"This four-year project supports the Timebound Program in the Philippines, which comprises a set of comprehensive and integrated initiatives to show visible results in the elimination of the worst forms of child labor and promotion of basic education in the country in a 5-10 year period. Trafficking of children for commercial sexual exploitation (CSE) purposes will be treated as a cross-cutting issue in the project. Work against CSE will center on Regions I (La Union, Baguio City), II (Angeles City, San Fernando, Tarlac, Nueva Ecija, Olongapo), IV (Laguna, Palawan, Romblon, Batangas), VII (Cebu, Toledo City, Lapu-lapu, Mandaue), and the National Capital Region (Manila, Kalookan City, Quezon City, Pasig, Paranaque). The project will withdraw or prevent children from entering CSE and other sectors of exploitative labor and will provide them with educational opportunities and health services. Alternative income generation opportunities and training will be provided to families."
East Asia and Pacific Islands,Singapore,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
East Asia and Pacific Islands,Solomon Islands,Prevention,"Dept. of State, EAP",Solomon Islands Women’s Information Communication Network,Solomon Islands Women’s Information Communication Network (SIWNET),,"SIWNET sponsors a 30-minute weekly radio program for women covering a range of issues, such as domestic violence, family planning, nutrition, and education. SIWMENT also produces short “radio development spots” of a minute or less that focus on similar issues for daily broadcast. With additional support from UNESCO, the group is creating a new series of 15-minute broadcasts called “Women Speaking to Women”. The Women’s Resource Center is distributing educational materials on the prevention of domestic violence and functions as a central meeting place for the discussion of related topics."
East Asia and Pacific Islands,Thailand,Prosecution,"Dept. of State, G/TIP",Guidelines for new laws,Thailand Criminal Law Institute (Attorney General's Office),,"Conduct a legal analysis to determine what steps are needed to bring national law into conformance with the United Nations National Convention against Transnational Organized Crime. Through a series of workshops and seminars, police and other law enforcement agencies will be trained on Thailand's legal obligations to fight trafficking."
East Asia and Pacific Islands,Thailand,Prosecution,"Dept. of State, G/TIP",Strengthen Police Trafficking Unit,"Royal Thai Police Department, Bangkok",,"This project will lend technical and material assistance to the recently formed anti-trafficking unit of the Thai police. Material includes a vehicle, computers, office items, communications and video equipment."
East Asia and Pacific Islands,Thailand,Prevention,"Dept. of State, G/TIP",Improvement of national hotline for TIP victims,Hotline Center Foundation (HCF) and Police Emergency 191,,"HCF and the Thai police will train emergency hotline operators how to assist and protect victims of trafficking and violence, especially women and children. This project will enhance public awareness of the hotline and train schools on its importance as a tool for public safety."
East Asia and Pacific Islands,Thailand,Protection,"Dept. of State, G/TIP",Primary Emergency Shelter in Chiang Mai,Royal Thai Government Dept. of Public Welfare,,"A safe house/primary shelter will be established for non-Thai and hill tribe women and children from a refurbished building at a secure location near Chiang Mai. Transportation, interpreters, psychosocial counseling and medical treatment will be provided at the shelter for trafficking victims."
East Asia and Pacific Islands,Thailand,Prevention/Protection/Prosecution,"Dept. of State, EAP",,"The Asia Foundation (TAF), administrator for projects below to improve the capacity of NGOs to address trafficking in persons.",,
East Asia and Pacific Islands,Thailand,,,Citizenship Training Program,,Inter Mountain Peoples Education and Culture in Thailand Association (IMPECT),Funds collection and processing of documents for citizenship applications by hill tribes people; legal services for individual registrations; and administration and management expenses for the organization’s Citizenship Status Development Section.
East Asia and Pacific Islands,Thailand,,,Trafficking Awareness/Media Outreach Project – Public Awareness of Gender Issues Through Show Production,,"The Hotline Center Foundation, the Gap Fai Community Theater, and the Thai National Council of Women","Production of popular shows (television and street theater) to increase public awareness of gender issues, violence against women and children, and the TIP problem."
East Asia and Pacific Islands,Thailand,,,"Trafficking Infrastructure Development, Capacity Building, and Training",,The Coordination Center for Protection of Child Rights (CCPCR),"Project for trafficking infrastructure development, capacity building, and training. This will include creation of an interview room with video equipment for child-friendly police/social worker interviews in Chiang Rai; one-year salaries for a project manager, social worker, and caseworker; and other costs of the Coordination Center. The project also includes workshops in Chiang Mai and Chiang Rai, as well as training for the task force staff and provincial and border police in Chiang Rai, Chiang Mai, and border areas."
East Asia and Pacific Islands,Thailand,,,"Surveillance, Suppression, and Rescue Operation Activities",,The Coordination Center for Protection of Child Rights (CCPCR),"Surveillance operations by its anti-TIP task force; social worker outreach to victims; establishment of 24-hour trafficking help lines and duty officers; public awareness activities; and rewards for info leading to the rescue of TIP victims. It also includes partial police operational expenses in Chiang Mai, Chiang Rai, and border areas."
East Asia and Pacific Islands,Thailand,,,Care and Assistance for TIP Victims,,The Coordination Center for Protection of Child Rights (CCPCR),"Provision of care and assistance for TIP victims in Chiang Mai; salary of a primary social worker; and food, water, and basic toiletries for 150 TIP victims for 120 days each in primary and secondary shelters. Legal services and interpreting services for non-Thai TIP victims will also be provided."
East Asia and Pacific Islands,Thailand,,,Support of Pro-Bono Legal Aid for Victims,,National Council of Thai Women,"Pro-bono legal aid for victims, including four professional workshops in Bangkok and three regions of Thailand."
East Asia and Pacific Islands,Thailand,,,Preparation of Case and Legal Aid Assistance to Pedophile Victims,,Fight Against Child Exploitation (FACE),"FACE prepares casework and offers legal aid in order to achieve prosecutions and convictions of pedophiles, both foreign and Thai. It also trains police and advocates with policy makers and legislators to improve TIP laws and regulations. This funding will cover staff salaries, office operational expenses, documentation, and travel expenses for social workers in its witness protection program."
East Asia and Pacific Islands,Thailand,,,Enhance the Capacities of Private Lawyers to Protect TIP Victims,,Law Society of Thailand Committee for Human Rights,The Council provides legal networking workshops and a series of seminars in order to enhance the capacities of private lawyers to protect victims. Funding also supports mobile legal aid.
East Asia and Pacific Islands,Thailand,Protection,"Dept. of State, PRM",Capacity-Building on the Protection of Victims of Trafficking: development of a Bi-Lateral Agreement between the kingdom of Thailand and the Lao PDR on the return and Reintegration of Trafficking Victims,IOM,,"This IOM project supports the development of a bilateral MOU between Thailand and Laos concerning the return and reintegration of trafficked victims. The project includes workshops at the national and sub-regional levels for Thai and Lao government officials, a legislative review to ensure compatibility and conformity of national policies with international standards, and an operational mechanism for cross-border returns."
East Asia and Pacific Islands,Thailand,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
East Asia and Pacific Islands,Thailand,"Protection, Prevention",Dept. of Labor/Bureau of International Labor Affairs/International Child Labor Program,Thailand Sex Trafficking Task Force,International Justice Mission,,"This three-year project in Northern Thailand will be used to establish a Thailand Sex Trafficking Task Force to address the plight of girls being trafficked for commercial sexual exploitation. The project will support prevention by reducing the vulnerability of the at-risk population by obtaining work permits and/or citizen registration in order to facilitate their entry into school or legal work. The project also will facilitate placement of child and adolescent victims of trafficking into educational and vocational training programs, as well as provide health and psychosocial services."
East Asia and Pacific Islands,Thailand,"Prevention, Protection","USAID, Bureau for Economic Growth Agriculture and Trade, Office of Women in Development","Response to Trafficking of Persons, Especially Women, Youth and Children Along the Thai-Burmese Border",World Vision,,"To reduce the number of women, youth and children trafficked from Burma to Thailand and from the borders further within Thailand, this activity works to raise awareness among community-based organizations, develop their capacity to design community-based responses and support them in implementing those responses."
East Asia and Pacific Islands,Vietnam,Prevention/Protection/Prosecution,"Dept. of State, G/TIP",Measures to prevent and combat trafficking in persons in Vietnam,United Nations Office of Drug Control and Crime Prevention/Crime Center,,"The project aims at strengthening the capacity of civil society, law enforcement, and prosecutors to prevent, investigate and prosecute cases of trafficking and related forms of organised crime, including enhancing international co-operation. Also, the project will assess legislative measures needed to enable the ratification and implementation of the UN Transnational Organized Crime Convention and its supplementary protocols."
East Asia and Pacific Islands,Vietnam,Prevention,"Dept. of State, EAP",Prevent and Deter Trafficking in Women and Children,The Asia Foundation (TAF),,"This project will involve research into the root causes, patterns, and scope of the problem, analysis of the legal and policy framework for addressing trafficking, awareness raising at the community level through local branches of the Vietnam Women’s Union, and micro-enterprise training and revolving loans to promote economic self-sufficiency among rural women."
