region,country,type_of_program,funding_agency,recipient,project_title,description,amount
Africa,Cameroon (Tier 2),Prevention,USDOS/G/TIP,International Labor Organization (ILO),Strengthening Cameroon’s Anti-Child Trafficking Legislation,"The ILO will convene consultants and jurists to draft improvements to Cameroon’s anti-child trafficking legislation over the course of two years. A network of experts, comprised of members of the Cameroonian National Assembly and NGOs will be assembled to adopt the improvements into law. Once adopted, ILO will disseminate new legislation to police, prosecutors and judges.","$150,000"
Africa,Cameroon (Tier 2),Prevention,USDOS/G/TIP,International Labor Organization (ILO),"Training of police, labor inspectors, and prosecutors for effective enforcement of anti-child trafficking laws",This program will create course modules so that police and labor inspectors will recognize child trafficking. The ILO will also create course modules for prosecutors on appropriate use of the law to combat trafficking. There is a training of trainers component to enhance sustainability.,"$150,000"
Africa,Cameroon (Tier 2),Protection,USDOS/AF,ILO,Assistance to Victims of Child Trafficking,"This two-year project will assist repatriated child victims of trafficking by building capacity of local NGOs. The government of Cameroon has not provided much assistance in the past to these NGOs and subsequently services have been insufficient. Victims will receive shelter and assistance in returning to their families. For those who cannot be reunited with families, the program will provide apprenticeships to learn a trade.","$100,000"
Africa,Cameroon (Tier 2),Prevention,USDOS/AF,ILO,Preventing Trafficking by Educating Parents,"This two-year project will educate parents about the tricks and lies used by traffickers to lure children into exploitation. Focusing on documented source areas through previous investigations, ILO will produce and disseminate comic strips, radio spots, and events on Youth Day and hold seminars for traditional leaders.","$100,000"
Africa,Democratic Republic of Congo (Tier 2),Protection,"USAID, Bureau for Africa","International Rescue Committee, Search for Common Ground",Anti-Trafficking of Women and Children in DDR programs,"USAID/DRC is integrating activities regarding trafficking in persons with activities proposed within all four of its strategic objectives in the health, democracy/governance, livelihoods and education sectors as well as its special objective “a comprehensive disarmament, demobilization, and reintegration program in the Democratic Republic of Congo.” The programs provide victims with legal advice and pro bono aid, psycho-social and medical assistance; use media to develop gender-sensitive messages; build the capacity of local groups who are working with female survivors; sensitize combatants and ex-combatants to the effects of sexual abduction and other gender-based violence; and identify the nature and extent of trafficking in persons by armed factions.","$470,000"
Africa,Ethiopia (Tier 2),Prevention,USDOS/AF,IOM,Preventing Trafficking through Counseling Services,This assistance will allow IOM to continue a radio program titled “Preventing Trafficking through Counseling Services” for another year as well as pay for additional spots on Ethiopia Radio.,"$25,000"
Africa,Ethiopia (Tier 2),"Prevention, Prosecution","USAID, Bureau for Africa","Save the Children, PACT, Pathfinder International, IOM, and PSI",Ethiopia—trafficking prevention,"USAID/Ethiopia supports the Government of Ethiopia, Ministry of Labor and Social Affairs (MOLSA), and the Women’s Affairs Bureau in the Office of the Prime Minister to implement Proclamation 104/1998 and the Revised Family Code for preventing trafficking in persons and protecting victims of trafficking. This activity also supports the Government Committee that sets policy.","$230,000"
Africa,Ghana (Tier 1),"Prevention, Protection, and Prosecution",USDOS/G/TIP,Crisis Response Center/Women’s Initiative for Self-Empowerment (CRC-WISE) through IOM,Victims’ Assistance Project,"This project will create a crisis response center providing a 24-hour hotline, shelter, legal advice, and psychological counseling for victims of sexual and abuse and trafficking. In addition, CRC-WISE will organize community resources into a coherent network serving as a reporting and referral system. CRC-WISE will also provide vocational training to help victims of gender-based violence and trafficking become self-sufficient. Beneficiaries of the project are women and children who have been trafficked or abused (battered women, women fleeing forced marriage, survivors of sexual assault, child abuse, and cruel widowhood rites).","$243,582"
Africa,Ghana (Tier 1),"Prevention, Protection",USDOS/PRM,IOM,"Prevention, Protection, Return & Reintegration","In its second year, this project will continue to identify children trafficked to work in fisheries and reunite them with their families. This project also provides alternative support and forms of income to fishermen and families, to help stop trafficking of children.","$200,000"
Africa,Kenya (Tier 2),"Prevention, Prosecution, and Protection",USDOS/G/TIP,Government of Kenya – Anti-Trafficking Unit and DOJ ICITAP,Raising Awareness and Efficacy within the Kenya Police Human Trafficking Unit,"Through training and technical assistance this project will help the newly established anti-trafficking unit within the Kenyan police force get up and running. Post recommends training on investigative techniques and identifying traffickers for the police and also suggests including prosecutors and members of civil society. Civil society groups have knowledge of trafficking at the local level and their inclusion in training sessions will further enhance awareness among the police and prosecutors. In addition to training, this project will provide the unit technical assistance including computers, a server, software, cameras, tape recorders, surveillance equipment, printers, and a vehicle.","$68,000"
Africa,Lesotho (Not on TIP Report),Prosecution,USDOS/G/TIP,UNICEF,Protection of Children and Women from Trafficking through Establishment of Child Protection Units in the Police Service,"This one-year project will create specialized units at the national and district level in the police force and provide training to recognize trafficking in persons, treat victims appropriately, and improve enforcement of trafficking crimes against vulnerable women and children. This project also includes public awareness to educate police and community leaders on the dangers of trafficking, and to advertise the new units and their function in community policing and border control.","$50,000"
Africa,Malawi (Tier 2),"Prevention, Protection",USDOS/AF,Eye of the Child through UNICEF,Strengthening the Fight Against Trafficking of Women and Children in Malawi,Phase one of this two-year project will be a survey of ten key trafficking districts to assess the scope of the problem and identify the level of understanding of trafficking. Phase two will be a focused education campaign and training workshops in those areas identified as most needy in phase one.,"$50,000"
Africa,Mali (Tier 2),Prevention,"USAID, Bureau for Africa",Save the Children,Mali—child trafficking,"USAID/Mali is supporting a media campaign to promote child welfare and prevent trafficking, using community radio as the primary medium. USAID/Mali will also increase programming frequency to two 30-minute episodes each week in several local languages and French.","$300,000"
Africa,Niger (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,"NGO – ANDDH, the Ministry of Social Development/Department of Child Protection, and the Direction of the Judicial Police (all from the Government of Niger) through UNICEF",Assistance to Prevent Trafficking in Persons in Niger,"ANDDH will conduct a study documenting where, when, how, why and to what extent trafficking is occurring in Niger. At the conclusion of their assessment, ANDDH will present their findings in a workshop/conference drawing national government and NGO participation. They will discuss, revise, and approve the study and develop a plan to combat it. The government will train 300 police, border guards, and customs agents through a train-the-trainer workshop on how to identify trafficking rings, investigate cases, and assist victims. Assistance will be utilized to draft comprehensive anti-trafficking legislation and internal procedures for law enforcement.","$224,000"
Africa,Nigeria (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,UNICEF,Anti-Child Trafficking Network in Nigeria,"This project will tie together key source, transit, and destination states in Nigeria (Cross River, Akwa Ibom, Imo, Abia, Rivers, Ebonyi, Delta, Ondo, and Lagos States) for children trafficked within the country and abroad. The network will include the Nigerian ambassadors from key destination countries, important state-level officials on TIP from each of the states as well as NGO, international organizations, and faith-based groups. In addition it will bring together law enforcement, judicial officials, and immigration officers to share information about traffickers, routes, and victim friendly ways to enhance investigations. The network participants will share prevention campaigns, information on trafficking networks, state action plans and materials for all states to use in school curriculum, radio, and TV broadcasts. The network will also establish a repatriation pipeline that includes shelters and rehabilitation services for returned victims.","$300,000"
Africa,Nigeria (Tier 2),"Prevention, Protection","USAID, Bureau for Africa","UNICEF, International Organization for Migration, Sisters of Mary, Idia Renaissance, National Center for Women and Development",Nigeria—assistance to trafficking victims,"USAID/Nigeria is funding IOM and a consortium of NGOs to establish and maintain shelters and training centers in Edo State, support community and HIV/AIDS awareness campaigns, and provide temporary shelter for up to 300 women/girls during each 6-month training cycle to assist those who cannot immediately be reunited with their families.","$500,000"
Africa,"Regional: Southern African Development Community (SADC members include Angola, Botswana, Democratic Republic of Congo, Lesotho, Malawi, Mauritius, Mozambique, Namibia, Seychelles, South Africa, Swaziland, Tanzania, Zambia, Zimbabwe)","Prevention, Protection, and Prosecution",USDOS/G/TIP,United Nations Office on Drugs and Crime,Assistance in the formulation and implementation of the SADC Declaration and Plan of Action against Trafficking in Persons,This two-year project will convene an expert group meeting to draft a SADC Declaration and Plan of Action against Trafficking in Persons and work to ensure it is adopted by the member states. A temporary coordinating unit at the SADC Secretariat will be created to initiate the implementation of the Plan including a design for the establishment of a permanent anti-trafficking unit within the SADC Secretariat.,"$293,800"
Africa,"Regional: South Africa, Botswana, Lesotho, Namibia, Swaziland","Prevention, Protection",USDOL,ILO-IPEC,Southern Africa Regional Project to Combat the Worst Forms of Child Labor in Select Sectors,"This (39-month) project aims to contribute to the elimination of the worst forms of child labor and promotion of basic education. A component of the project will support sub-regional inter-governmental action against trafficking through the facilitation of an anti-trafficking cooperation agreement among all five countries, provide technical assistance to the process of drafting such an agreement.","$5,000,000"
Africa,"Regional (West Africa Regional Program-Sierra Leone, Liberia, and Guinea)",Protection,"USAID, Bureau for Africa","International Rescue Committee, Center for Victims of Torture, and Search for Common Ground/Talking Drum Studio",Mano River Union—assistance to trafficking victims,"Women who were abducted to serve as wives for former Revolutionary United Front members and then abandoned are common in both Liberia and Guinea. This program supports 1) facilitating the safe return and social re-insertion and rehabilitation of refugees, 2) cross-border peace building through community radio messaging and 3) psycho-social treatment and rehabilitation of victims of torture and gender-based violence.","$275,000"
Africa,"Regional (Benin, Cote d'Ivoire, Democratic Republic of Congo, Gabon, Mali, Togo)","Prevention, Protection, and Prosecution.",USDOS/ECA,Africa America Institute,,"This project, for NGO leaders, police and social welfare officials from French speaking African countries, explored programs and methods used in the United States to protect and support victims of human trafficking, to prevent trafficking and to prosecute criminals involved in trafficking offenses. The program included meetings in the Executive Branch and in Congress to understand U.S. policy and programs to combat trafficking, child labor and related issues, and site visits to organizations with anti-trafficking projects in Los Angeles, Houston, Syracuse and New York, NY.","$91,480."
Africa,Senegal (Tier 2),"Prevention, Protection",USDOL,ILO-IPEC,Supporting the Timebound Program to Eliminate the Worst Forms of Child Labor in Senegal,"This project supports the Timebound Program in Senegal, which comprises a set of comprehensive and integrated initiatives to show visible results in the elimination of the worst forms of child labor and promotion of basic education in the country in a 5-10 year period. Trafficking of children for commercial sexual exploitation (CSE) purposes will be treated as a crosscutting issue in the project. The project will withdraw or prevent children from entering CSE and other sectors of exploitative labor and will provide them with educational opportunities and health services.","$2,000,000"
Africa,South Africa (Tier 2),"Prevention, Protection",USDOS/PRM,IOM,"Prevention, Protection and Victim Assistance","IOM will work with member countries of the Southern African Development Community (SADC) on awareness raising capacity-building activities. In its first year, the project will focus on South Africa.","$455,000"
Africa,South Africa (Tier 2),"Prevention, Protection",USDOS/AF,Molo Songololo,Strengthening the fight against Child Trafficking,"This ongoing project has a number of objectives, including to develop a situation and needs analysis, develop an intervention strategy against sexual exploitation of children; conduct public awareness and training; identify at-risk children and provide support; establish community child safety forums; train and provide support to health care and social service workers.","$80,000"
Africa,Sudan (Tier 3),"Prevention, Protection, and Prosecution","USAID, Bureau for Africa",Save the Children/UK,Sudan—fighting abduction,USAID and Save the Children/UK are working together to eradicate the practice of abduction and to find effective ways to help women and children victims. Some of the activities being carried out are prevention and reduction of abductions through the collection and compilation of information on abductions as they occur in Bahr al Ghazal; documentation of cases of abduction; and introduction of an interagency database to improve the quality of documentation for tracing victims.,"$425,000"
Africa,Zambia (Tier 2),Prevention,USDOS/G/TIP,The Anglican Children’s Project through the ILO,Building and Strengthening Lives of Families and Communities,"This one-year project will disseminate information about child prostitution and sex trafficking through materials and via church networks; establish training teams staffed by volunteers to provide counseling to child victims of trafficking; and capacity building of community social workers, police victim support unit officers, judiciary, immigration officers and others working with child victims of crime. Program will be implemented through a grant to the ILO.","$50,000"
East Asia And Pacific Islands,Cambodia (Tier 2),"Prevention, Protection","USAID, Bureau for Asia and the Near East",The Asia Foundation,“Community Empowerment Against Trafficking in Persons”,"The program will mobilize communities to protect children and women from exploitation through monitoring and advocacy to prevent trafficking and protect victims' rights. It will facilitate linkages among counter-trafficking organizations in order to promote better life options, to reduce vulnerability to trafficking and assist trafficking victims.","$890,000"
East Asia And Pacific Islands,Cambodia (Tier 2),Prevention,"USAID, Bureau for Asia and the Near East",International Organization for Migration,Prevention of all Forms of Trafficking in Women and Children,Information dissemination through a variety of media to help prevent trafficking of women and children.,"$94,012"
East Asia And Pacific Islands,Cambodia (Tier 2),Protection and Prosecution,"USAID, Bureau for Asia and the Near East",East West Management Institute,Human Rights in Cambodia,Supports the prosecution of traffickers in persons and advocates for trafficked victims.,"$65,998"
East Asia And Pacific Islands,Cambodia (Tier 2),Protection and Prosecution,"USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development",International Justice Mission,Initiative to End Commercial Sexual Exploitation,This activity will increase the capacity of Cambodian law enforcement authorities to capture and convict traffickers through (a) investigative training for the Ministry of Interior's Anti-Human Trafficking Juvenile Protection Unit and (b) legal advocacy to facilitate effective prosecution of trafficking cases.,"$1,000,000"
East Asia And Pacific Islands,Cambodia (Tier 2),Protection,USDOS/G/TIP,"World Hope, Hagar",Victim Shelter Feasibility Study,This project will enable Hagar to study the feasibility of building shelters for Vietnamese victims of Human Trafficking in Cambodia.,"$26,858"
East Asia And Pacific Islands,Indonesia (Tier 2),Prosecution,USDOS/G/TIP,The Asia Foundation through USAID mission,Counter-Trafficking in Indonesia Program,"This two-year, multi-faceted project seeks to improve legislation, public awareness, and law enforcement. The first component is legislative improvement including consultations on the weaknesses of current legislation and law enforcement efforts; support for Indonesian participation in a regional legal initiative; and assistance in promoting ratification in the legislature. The second component is to improve sensitization of judiciaries and police to the crime of trafficking and violence against women through the development of guidelines and procedures on proper treatment of victims; seminars; and bolstering investigative journalists to do more reporting on crimes and on the performance of the judiciary in processing crimes. The third component consists of public awareness on legal rights and education on improving the rule of law.","$265,896"
East Asia And Pacific Islands,Indonesia (Tier 2),Prosecution,USDOS/G/TIP,DOJ/ICITAP,Training Indonesian Law Enforcement on Trafficking in Persons.,"This law enforcement training is a follow up and expansion of FY02 ICITAP training funded with G/TIP INCLE funds. The goals are to unite law enforcement officials with NGO service providers to better understand trafficking crimes and develop a strategy for helping victims in two project sites. This will include a train the trainer component; training on investigative skills; victim sensitization; visit of select officers to the United States; uniting police, prosecutors and judges to identify weaknesses and develop strategies to improve prosecution efforts; and material support.","$260,857"
East Asia And Pacific Islands,Indonesia (Tier 2),Protection,,International Catholic Migration Commission (ICMC) through USAID mission,Support and Development of Counter-Trafficking Assistance Units in Indonesian Consulates,"This one-year project will provide training, handbooks, and on-going support to Indonesian consular officials to recognize and assist trafficking victims abroad. The training will focus on two Indonesian consulates in Malaysia. Topics will include victim protection and care, legal foundations for trafficking, advocacy training, data collection, and networking. Training sessions will also be conducted in the Ministry of Foreign Affairs for all consular officers.","$264,770"
East Asia And Pacific Islands,Indonesia (Tier 2),"Prevention, Protection",USDOL,ILO-IPEC,Supporting the Timebound Program to Eliminate the Worst Forms of Child Labor in Indonesia,"This project supports the Timebound Program in Indonesia, which comprises a set of comprehensive and integrated initiatives to show visible results in the elimination of the worst forms of child labor and promotion of basic education in the country in a 5-10 year period. Trafficking of children for commercial sexual exploitation (CSE) purposes will be treated as a crosscutting issue in the project. The project will withdraw or prevent children from entering CSE and other sectors of exploitative labor and will provide them with educational opportunities and health services. Alternative income generation opportunities and training will be provided to families.","$4,065,000"
East Asia And Pacific Islands,Japan (Tier 2),"Prevention, Protection",DOS/ECA,Institute for International Education,Anti-Trafficking Efforts in the U.S.,"This 28-day program for leaders at three NGO's involved with protecting victims of trafficking will enhance their understanding of anti-trafficking efforts in the U.S. It will also improve the participant’s network of professional contacts in the field, to help and support efforts to stop trafficking and assist victims in Japan.","$45,856"
East Asia And Pacific Islands,Laos (Tier 2),Prevention,USDOS/ EAP,The Consortium,Prevention of Human Trafficking in the Mekong Border,"This project ensures the employment of graduates by linking skills training with income generating programs for young entrepreneurs and the self-employed. These are supported by micro-finance schemes, technical advice, group formation, and credit and job service centers.","$113,844"
East Asia And Pacific Islands,Laos (Tier 2),Prevention,USDOS/EAP,Village Focus International,Community Action Against Trafficking,"Teacher training, youth leader training, and direct addresses to students and village youth through video, printed matter, puppetry, and other media.","$80,625"
East Asia And Pacific Islands,Papua New Guinea (Not on TIP Report),Prevention,USDOS/EAP,Anglicares,Women's Community Development Centers,Centers enable women and girls who are members of street gangs to enhance their ability to become financially independent. This lowers the risk that they will participate in criminal sexual exploitation. The project educates at-risk women to increase their security and protect them from family violence.,"$114,000"
East Asia And Pacific Islands,Philippines (Tier 2),"Prevention, Prosecution",USDOS/G/TIP,ECPAT through USAID mission,Continuing Community Empowerment against Sexual Exploitation of Children,"This three-year project will identify gaps in laws and policies with respect to protection of children from commercial sexual exploitation, improvement of the judicial systems and procedures, strengthening of law enforcement and harmonizing it with international standards. ECPAT will also continue to educate the public on these issues, as the organization has done in past years, through targeting community leaders. Specific cases will be tracked through the court system and ECPAT will assist child victims to limit the trauma faced during court proceedings.","$78,370"
East Asia And Pacific Islands,Philippines (Tier 2),Prevention,USDOS/G/TIP,Coalition Against Trafficking in Women – Asia Pacific (CATW-AP) through USAID mission,Campaigning Against Trafficking the Philippines,"This two-year project will conduct educational seminars in the greatest source areas of trafficked women and girls. Training and public education seminars will also focus on the demand side of trafficking, teaching young men and boys about trafficking. There will be a focus on increasing and systematizing data on domestic violence and trafficking in persons in the Philippines and Russia. CATW-AP will promote the implementation of the new trafficking in persons law with government agencies.","$277,943"
East Asia And Pacific Islands,Philippines (Tier 2),"Prevention, Protection",USDOS/EAP,National Office of Mass Media,Informing the Filipino Public on the Sale of Women,A tri-media educational campaign. A book will be published to raise public awareness regarding trafficked Filipinos. The rehabilitation assistance includes counseling and livelihood services for victims and families.,"$165,000"
East Asia And Pacific Islands,Regional: Mekong Region,"Prevention, Protection, return Assistance",USDOS/PRM,IOM,Return and reintegration Assistance for Trafficking Victims in selected Countries of the Mekong Region.,"This IOM project identifies trafficking victims and provides them with protection, transportation and reintegration assistance to return to their country. PRM funding will target returns of victims to countries that have traditionally been less cooperative in accepting their nationals.","$364,248"
East Asia And Pacific Islands,Regional,"Prevention, Protection",DOS/ECA,Meridian International Center,Trafficking in Women and Children,"This project will explore the definition, causes, results and types of trafficking of women and children and the most effective strategies to combat the problem. This project will provide detailed information about the U.S. Anti-Trafficking Law, HR-3244, The Victims of Trafficking and Violence Protection Act and the United Nations protocol to prevent, suppress and punish trafficking in persons, especially women and children.","$129,277"
East Asia And Pacific Islands,Thailand (Tier 2),Prosecution,USDOS/G/TIP,Fight Against Child Exploitation (FACE),Monitoring Cases and Advocacy Work of Child Abuse and Trafficking in Children and Women in Thailand and Mekong Countries,"FACE will assist police throughout Thailand in developing trafficking in persons investigations and train police to have a victim-centered approach in this two-year program. The NGO provides legal support for redress in forced labor cases; conducts awareness raising programs among general public and law enforcement officials; and will develop and maintain a national database on trafficking in persons. FACE takes a bottom-up approach to law enforcement, helping police develop each individual case through to completion.","$123,650"
East Asia And Pacific Islands,Thailand (Tier 2),"Prevention, Prosecution",USDOS/G/TIP,Hotline Foundation,Hotline Crisis Management and Training School,"This two-year program will continue and expand G/TIP FY02 funding to train police hotline operators to provide first-responder assistance to trafficking victims or potential victims. The program will expand to the borders of Laos, and Cambodia, as well as Yunan province in China with additional training and start-up of similar hotlines in each of those three countries.","$70,000"
East Asia And Pacific Islands,Thailand (Tier 2),Prosecution,USDOS/G/TIP,Hotline Foundation,Shelter for Women at Chiang Mai and Outreach Services in Northern Thailand,"This two-year program will provide a temporary safe house for victims and women at risk; outreach to at risk-youth, and legal assistance and translation support to victims. This is a continuation of a project that G/TIP funded in FY02.","$50,600"
East Asia And Pacific Islands,Thailand (Tier 2),Prosecution,USDOS/G/TIP,"Royal Thai Government, Police Department",The Government Cooperation Among Agencies to Prevent and Suppress human Trafficking,"This two-year project to be implemented at the national training academy will increase the police force’s understanding of TIP laws and criminal procedures; promote a human-rights approach to protection for TIP victims; and increase the number of arrests and prosecutions of traffickers through the development of a course and implementing it at the national police academy. Additional training will be conducted for over 1,000 existing officers. NGOs and international organizations will be tapped for expertise in training.","$140,000"
East Asia And Pacific Islands,Thailand (Tier 2),Prosecution,USDOS/G/TIP,Coordination Center for Protection of Child Rights,Capacity Building for Police Force in Upper Northern Region,"This two-year project will train and provide operational support to local police and immigration, and border patrol officials in all eight provinces of northern Thailand. This is an expansion of a FY02 G/TIP funded program that took place in the area of Chiang Mai. In addition, a victim-friendly interview room will be established in Chiang Rai.","$35,500"
East Asia And Pacific Islands,Thailand (Tier 2),Prosecution,USDOS/G/TIP,"Royal Thai Government, Special Investigation Department (New branch of Thai police force responsible for investigating transnational crimes including trafficking)",Monitoring Cases and Advocacy Work on TIP and Training in TIP Investigations,This two-year project will provide training to 200-300 police in fourteen provinces in conjunction with The Asia Foundation. Operational assistance and case monitoring will also be included. G/TIP contributed funds to the establishment of this unit in FY02.,"$116,350"
East Asia And Pacific Islands,Thailand (Tier 2),Prosecution,USDOS/G/TIP,"Royal Thai Government, Office of the Attorney General",Promoting Effective Law Enforcement to Combat TIP,"In this two-year project, the Office of the Attorney General will team up with the Asia Foundation to train approximately 400-450 prosecutors on TIP laws and criminal procedures. An additional 200-250 multidisciplinary team members including NGOs, social workers, and medical professionals will also be trained.","$70,150"
East Asia And Pacific Islands,Thailand (Tier 2),"Prevention, Protection",USDOS/PRM,IOM,"Protection, Return and Psycho-social Assistance",To provide for comprehensive victim support that includes psycho-social assistance and other mechanisms for effective protection and reintegration.,"$141,704"
East Asia And Pacific Islands,Thailand (Tier 2),"Prevention, Protection",USDOS/PRM,IOM,Return of Trafficking Victims: Cooperation of Thailand and Laos,"In its second year, the project will facilitate the development of an MOU on the return of trafficking victims, between Thailand and Laos.","$31,000"
