"recommendation","year","progress","included_in_report"
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2013","none",NA
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2001",NA,NA
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2002",NA,NA
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2003",NA,NA
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2004",NA,NA
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2005",NA,NA
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2006",NA,NA
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2007",NA,NA
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2008","none",1
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2009","none",1
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2010","none",1
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2011","some",1
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2012","some",1
"Prohibit Labor Recruitment Agencies from Charging Excessive Recruitment Fines ","2013","?",1
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2001",NA,NA
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2002",NA,NA
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2003",NA,NA
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2004",NA,NA
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2005",NA,NA
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2006",NA,NA
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2007",NA,1
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2008","none",1
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2009","none",1
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2010","none",1
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2011","some",NA
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2012","some",NA
"Re-Examine Existing MOUs with Destination Countries to Incorporate Victim Protection ","2013","some",NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2001",NA,NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2002",NA,NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2003",NA,NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2004",NA,NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2005",NA,NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2006",NA,NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2007",NA,NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2008","some",NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2009",NA,1
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2010","some",NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2011","some",NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2012","some",NA
"Use the 2007 Comprehensive Anti-TIP Law to Defeat Labor Trafficking and Debt Bondage","2013","some",NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2001",NA,NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2002",NA,NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2003",NA,NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2004",NA,NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2005",NA,NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2006",NA,NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2007",NA,NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2008",NA,NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2009",NA,NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2010","none",1
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2011","some",NA
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2012","some",1
"Reform the Legal Labor Export System to Reduce Vulnerabilities to Indonesian Migrant Workers ","2013","some",NA
"Improve the Collection and Analysis of All Trafficking-Related Data ","2001",NA,NA
"Improve the Collection and Analysis of All Trafficking-Related Data ","2002",NA,NA
"Improve the Collection and Analysis of All Trafficking-Related Data ","2003",NA,NA
"Improve the Collection and Analysis of All Trafficking-Related Data ","2004",NA,NA
"Improve the Collection and Analysis of All Trafficking-Related Data ","2005",NA,NA
"Improve the Collection and Analysis of All Trafficking-Related Data ","2006",NA,NA
"Improve the Collection and Analysis of All Trafficking-Related Data ","2007",NA,NA
"Improve the Collection and Analysis of All Trafficking-Related Data ","2008",NA,NA
"Improve the Collection and Analysis of All Trafficking-Related Data ","2009",NA,NA
"Improve the Collection and Analysis of All Trafficking-Related Data ","2010","a lot",1
"Improve the Collection and Analysis of All Trafficking-Related Data ","2011","none",1
"Improve the Collection and Analysis of All Trafficking-Related Data ","2012","none",1
"Improve the Collection and Analysis of All Trafficking-Related Data ","2013","none",1
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2001",NA,NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2002",NA,NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2003",NA,NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2004",NA,NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2005",NA,NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2006",NA,NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2007",NA,NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2008",NA,NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2009",NA,NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2010",NA,NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2011","some",1
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2012","some",NA
"Enact Draft Legislation to Amend the 2004 Overseas Labor Placement and Protection Law to Further Protect Indonesian Migrants ","2013","some",NA
"Improve Regional Coordination Regarding Migration","2001",NA,NA
"Improve Regional Coordination Regarding Migration","2002",NA,NA
"Improve Regional Coordination Regarding Migration","2003",NA,NA
"Improve Regional Coordination Regarding Migration","2004",NA,NA
"Improve Regional Coordination Regarding Migration","2005",NA,NA
"Improve Regional Coordination Regarding Migration","2006",NA,NA
"Improve Regional Coordination Regarding Migration","2007",NA,NA
"Improve Regional Coordination Regarding Migration","2008",NA,NA
"Improve Regional Coordination Regarding Migration","2009",NA,NA
"Improve Regional Coordination Regarding Migration","2010",NA,NA
"Improve Regional Coordination Regarding Migration","2011","none",1
"Improve Regional Coordination Regarding Migration","2012","none",NA
"Improve Regional Coordination Regarding Migration","2013","?",NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2001",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2002",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2003",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2004",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2005",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2006",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2007",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2008",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2009",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2010",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2011",NA,NA
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2012","none",1
"Create a National Protocol that Clarifies Responsibilities for Prosecuting Trafficking Cases Outside Victim's Province of Residence ","2013",NA,1
"Increase Government Funding for Victims to Participate in Legal Procedures ","2001",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2002",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2003",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2004",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2005",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2006",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2007",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2008",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2009",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2010",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2011",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2012",NA,NA
"Increase Government Funding for Victims to Participate in Legal Procedures ","2013",NA,1
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2001",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2002",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2003",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2004",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2005",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2006",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2007",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2008",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2009",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2010",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2011",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2012",NA,NA
"Proactively Identify Vulnerable Groups to Trafficking (2014)","2013",NA,NA
